"","trial_index","shelf_index","product_index","product","price","selected","scenario","latency","pre_discounted","id.session"
"4215",0,0,0,"bushmills_small",26.99,FALSE,"H5-4",NA,NA,"5de26b61625af00010e7952d"
"4216",0,0,1,"kahlua",23.99,FALSE,"H5-4",NA,NA,"5de26b61625af00010e7952d"
"4217",0,0,2,"grand_marnier",30.99,FALSE,"H5-4",NA,NA,"5de26b61625af00010e7952d"
"4218",0,0,3,"saint_brendans",17.99,FALSE,"H5-4",NA,NA,"5de26b61625af00010e7952d"
"4219",0,0,4,"carolans_large",26.99,FALSE,"H5-4",NA,NA,"5de26b61625af00010e7952d"
"4220",0,0,5,"kerrygold",21.99,FALSE,"H5-4",NA,NA,"5de26b61625af00010e7952d"
"4221",0,0,6,"baileys_750ml_usa",24.99,TRUE,"H5-4",6597,NA,"5de26b61625af00010e7952d"
"4222",0,0,7,"five_farms",34.99,FALSE,"H5-4",NA,NA,"5de26b61625af00010e7952d"
"4223",0,0,8,"bushmills_large",42.99,FALSE,"H5-4",NA,NA,"5de26b61625af00010e7952d"
"4224",0,0,9,"carolans_small",17.99,FALSE,"H5-4",NA,NA,"5de26b61625af00010e7952d"
"4225",1,0,0,"smirnoff_usa_large",23.99,FALSE,"H7-fill_3",NA,NA,"5de26b61625af00010e7952d"
"4226",1,0,1,"tullamore_dew",30.99,FALSE,"H7-fill_3",NA,NA,"5de26b61625af00010e7952d"
"4227",1,0,2,"rum_chata_us",24.99,FALSE,"H7-fill_3",NA,30.99,"5de26b61625af00010e7952d"
"4228",1,0,3,"yellow_tail_white",10.99,FALSE,"H7-fill_3",NA,NA,"5de26b61625af00010e7952d"
"4229",1,0,4,"malibu_imported_large",23.99,FALSE,"H7-fill_3",NA,NA,"5de26b61625af00010e7952d"
"4230",1,0,5,"yellow_tail_red",10.99,FALSE,"H7-fill_3",NA,NA,"5de26b61625af00010e7952d"
"4231",1,0,6,"tanqueray_imported",25.99,FALSE,"H7-fill_3",NA,NA,"5de26b61625af00010e7952d"
"4232",1,0,7,"malibu_imported",17.99,FALSE,"H7-fill_3",NA,23.99,"5de26b61625af00010e7952d"
"4233",1,0,8,"smirnoff_usa",16.99,TRUE,"H7-fill_3",3419,NA,"5de26b61625af00010e7952d"
"4234",2,0,0,"yellow_tail_white",10.99,FALSE,"H6-fill_4",NA,NA,"5de26b61625af00010e7952d"
"4235",2,0,1,"yellow_tail_red",10.99,FALSE,"H6-fill_4",NA,NA,"5de26b61625af00010e7952d"
"4236",2,0,2,"malibu_imported_large",23.99,FALSE,"H6-fill_4",NA,NA,"5de26b61625af00010e7952d"
"4237",2,0,3,"rum_chata_us",24.99,FALSE,"H6-fill_4",NA,27.99,"5de26b61625af00010e7952d"
"4238",2,0,4,"smirnoff_usa_large",23.99,FALSE,"H6-fill_4",NA,NA,"5de26b61625af00010e7952d"
"4239",2,0,5,"tanqueray_imported",25.99,FALSE,"H6-fill_4",NA,NA,"5de26b61625af00010e7952d"
"4240",2,0,6,"tullamore_dew",30.99,FALSE,"H6-fill_4",NA,35.99,"5de26b61625af00010e7952d"
"4241",2,0,7,"smirnoff_usa",16.99,TRUE,"H6-fill_4",1228,NA,"5de26b61625af00010e7952d"
"4242",2,0,8,"malibu_imported",17.99,FALSE,"H6-fill_4",NA,NA,"5de26b61625af00010e7952d"
"4243",3,0,0,"smirnoff_usa_large",23.99,FALSE,"H5-fill_5",NA,NA,"5de26b61625af00010e7952d"
"4244",3,0,1,"tullamore_dew",30.99,FALSE,"H5-fill_5",NA,36.99,"5de26b61625af00010e7952d"
"4245",3,0,2,"rum_chata_us",24.99,TRUE,"H5-fill_5",2265,26.99,"5de26b61625af00010e7952d"
"4246",3,0,3,"smirnoff_usa",16.99,FALSE,"H5-fill_5",NA,17.99,"5de26b61625af00010e7952d"
"4247",3,0,4,"malibu_imported",17.99,FALSE,"H5-fill_5",NA,NA,"5de26b61625af00010e7952d"
"4248",3,0,5,"yellow_tail_red",10.99,FALSE,"H5-fill_5",NA,17.99,"5de26b61625af00010e7952d"
"4249",3,0,6,"tanqueray_imported",25.99,FALSE,"H5-fill_5",NA,NA,"5de26b61625af00010e7952d"
"4250",3,0,7,"yellow_tail_white",10.99,FALSE,"H5-fill_5",NA,NA,"5de26b61625af00010e7952d"
"4251",3,0,8,"malibu_imported_large",23.99,FALSE,"H5-fill_5",NA,NA,"5de26b61625af00010e7952d"
"4252",4,0,0,"kerrygold",21.99,FALSE,"H6-6",NA,NA,"5de26b61625af00010e7952d"
"4253",4,0,1,"saint_brendans",17.99,FALSE,"H6-6",NA,NA,"5de26b61625af00010e7952d"
"4254",4,0,2,"carolans_small",17.99,FALSE,"H6-6",NA,NA,"5de26b61625af00010e7952d"
"4255",4,0,3,"kahlua",23.99,TRUE,"H6-6",1165,NA,"5de26b61625af00010e7952d"
"4256",4,0,4,"bushmills_large",42.99,FALSE,"H6-6",NA,NA,"5de26b61625af00010e7952d"
"4257",4,0,5,"baileys_750ml_usa",20.99,FALSE,"H6-6",NA,29.99,"5de26b61625af00010e7952d"
"4258",4,0,6,"five_farms",34.99,FALSE,"H6-6",NA,NA,"5de26b61625af00010e7952d"
"4259",4,0,7,"bushmills_small",26.99,FALSE,"H6-6",NA,NA,"5de26b61625af00010e7952d"
"4260",4,0,8,"grand_marnier",30.99,FALSE,"H6-6",NA,NA,"5de26b61625af00010e7952d"
"4261",4,0,9,"carolans_large",26.99,FALSE,"H6-6",NA,NA,"5de26b61625af00010e7952d"
"4262",5,0,0,"bushmills_large",42.99,FALSE,"H5-1",NA,NA,"5de26b61625af00010e7952d"
"4263",5,0,1,"carolans_small",17.99,FALSE,"H5-1",NA,NA,"5de26b61625af00010e7952d"
"4264",5,0,2,"five_farms",34.99,FALSE,"H5-1",NA,NA,"5de26b61625af00010e7952d"
"4265",5,0,3,"baileys_750ml_usa",30.99,FALSE,"H5-1",NA,NA,"5de26b61625af00010e7952d"
"4266",5,0,4,"carolans_large",26.99,TRUE,"H5-1",453,NA,"5de26b61625af00010e7952d"
"4267",5,0,5,"kahlua",23.99,FALSE,"H5-1",NA,NA,"5de26b61625af00010e7952d"
"4268",5,0,6,"kerrygold",21.99,FALSE,"H5-1",NA,NA,"5de26b61625af00010e7952d"
"4269",5,0,7,"saint_brendans",17.99,FALSE,"H5-1",NA,NA,"5de26b61625af00010e7952d"
"4270",5,0,8,"bushmills_small",26.99,FALSE,"H5-1",NA,NA,"5de26b61625af00010e7952d"
"4271",5,0,9,"grand_marnier",30.99,FALSE,"H5-1",NA,NA,"5de26b61625af00010e7952d"
"4272",6,0,0,"saint_brendans",17.99,FALSE,"H6-5",NA,NA,"5de26b61625af00010e7952d"
"4273",6,0,1,"bushmills_small",26.99,FALSE,"H6-5",NA,NA,"5de26b61625af00010e7952d"
"4274",6,0,2,"bushmills_large",42.99,TRUE,"H6-5",183,NA,"5de26b61625af00010e7952d"
"4275",6,0,3,"kerrygold",21.99,FALSE,"H6-5",NA,NA,"5de26b61625af00010e7952d"
"4276",6,0,4,"five_farms",34.99,FALSE,"H6-5",NA,NA,"5de26b61625af00010e7952d"
"4277",6,0,5,"carolans_small",17.99,FALSE,"H6-5",NA,NA,"5de26b61625af00010e7952d"
"4278",6,0,6,"baileys_750ml_usa",21.99,FALSE,"H6-5",NA,29.99,"5de26b61625af00010e7952d"
"4279",6,0,7,"grand_marnier",30.99,FALSE,"H6-5",NA,NA,"5de26b61625af00010e7952d"
"4280",6,0,8,"kahlua",23.99,FALSE,"H6-5",NA,NA,"5de26b61625af00010e7952d"
"4281",6,0,9,"carolans_large",26.99,FALSE,"H6-5",NA,NA,"5de26b61625af00010e7952d"
"4282",7,0,0,"carolans_small",17.99,FALSE,"H5-3",NA,NA,"5de26b61625af00010e7952d"
"4283",7,0,1,"grand_marnier",30.99,FALSE,"H5-3",NA,NA,"5de26b61625af00010e7952d"
"4284",7,0,2,"kahlua",23.99,FALSE,"H5-3",NA,NA,"5de26b61625af00010e7952d"
"4285",7,0,3,"bushmills_large",42.99,FALSE,"H5-3",NA,NA,"5de26b61625af00010e7952d"
"4286",7,0,4,"saint_brendans",17.99,FALSE,"H5-3",NA,NA,"5de26b61625af00010e7952d"
"4287",7,0,5,"baileys_750ml_usa",26.99,TRUE,"H5-3",169,NA,"5de26b61625af00010e7952d"
"4288",7,0,6,"bushmills_small",26.99,FALSE,"H5-3",NA,NA,"5de26b61625af00010e7952d"
"4289",7,0,7,"five_farms",34.99,FALSE,"H5-3",NA,NA,"5de26b61625af00010e7952d"
"4290",7,0,8,"kerrygold",21.99,FALSE,"H5-3",NA,NA,"5de26b61625af00010e7952d"
"4291",7,0,9,"carolans_large",26.99,FALSE,"H5-3",NA,NA,"5de26b61625af00010e7952d"
"4292",8,0,0,"yellow_tail_red",10.99,FALSE,"H7-fill_2",NA,NA,"5de26b61625af00010e7952d"
"4293",8,0,1,"malibu_imported",17.99,FALSE,"H7-fill_2",NA,NA,"5de26b61625af00010e7952d"
"4294",8,0,2,"smirnoff_usa_large",23.99,FALSE,"H7-fill_2",NA,NA,"5de26b61625af00010e7952d"
"4295",8,0,3,"tullamore_dew",30.99,TRUE,"H7-fill_2",217,NA,"5de26b61625af00010e7952d"
"4296",8,0,4,"smirnoff_usa",16.99,FALSE,"H7-fill_2",NA,NA,"5de26b61625af00010e7952d"
"4297",8,0,5,"rum_chata_us",24.99,FALSE,"H7-fill_2",NA,30.99,"5de26b61625af00010e7952d"
"4298",8,0,6,"malibu_imported_large",23.99,FALSE,"H7-fill_2",NA,NA,"5de26b61625af00010e7952d"
"4299",8,0,7,"tanqueray_imported",25.99,FALSE,"H7-fill_2",NA,NA,"5de26b61625af00010e7952d"
"4300",8,0,8,"yellow_tail_white",10.99,FALSE,"H7-fill_2",NA,NA,"5de26b61625af00010e7952d"
"4301",9,0,0,"malibu_imported",17.99,FALSE,"H6-fill_3",NA,18.99,"5de26b61625af00010e7952d"
"4302",9,0,1,"smirnoff_usa_large",23.99,FALSE,"H6-fill_3",NA,NA,"5de26b61625af00010e7952d"
"4303",9,0,2,"smirnoff_usa",16.99,FALSE,"H6-fill_3",NA,21.99,"5de26b61625af00010e7952d"
"4304",9,0,3,"malibu_imported_large",23.99,TRUE,"H6-fill_3",374,24.99,"5de26b61625af00010e7952d"
"4305",9,0,4,"yellow_tail_white",10.99,FALSE,"H6-fill_3",NA,NA,"5de26b61625af00010e7952d"
"4306",9,0,5,"tullamore_dew",30.99,FALSE,"H6-fill_3",NA,NA,"5de26b61625af00010e7952d"
"4307",9,0,6,"rum_chata_us",24.99,FALSE,"H6-fill_3",NA,NA,"5de26b61625af00010e7952d"
"4308",9,0,7,"yellow_tail_red",10.99,FALSE,"H6-fill_3",NA,NA,"5de26b61625af00010e7952d"
"4309",9,0,8,"tanqueray_imported",25.99,FALSE,"H6-fill_3",NA,29.99,"5de26b61625af00010e7952d"
"4588",0,0,0,"yellow_tail_white",10.99,FALSE,"H6-fill_1",NA,18.99,"5de26c79625af00010e7956b"
"4589",0,0,1,"malibu_imported_large",23.99,FALSE,"H6-fill_1",NA,31.99,"5de26c79625af00010e7956b"
"4590",0,0,2,"tullamore_dew",30.99,FALSE,"H6-fill_1",NA,NA,"5de26c79625af00010e7956b"
"4591",0,0,3,"rum_chata_us",24.99,FALSE,"H6-fill_1",NA,NA,"5de26c79625af00010e7956b"
